name,synonyms,category,status_general,risk_level,risk_notes,allergen_flags,diet_tags,environmental_notes,evidence_grade,jurisdiction_status,typical_use,source_citations,last_reviewed,avoid_if
Natural Flavor (Grapefruit),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candy; yogurt,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Grapefruit),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Grapefruit Extract,,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Tangerine),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candy; yogurt,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Tangerine),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Tangerine Extract,,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Watermelon),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candy; yogurt,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Watermelon),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Watermelon Extract,,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Cantaloupe),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candy; yogurt,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Cantaloupe),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Cantaloupe Extract,,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Honeydew),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candy; yogurt,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Honeydew),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Honeydew Extract,,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Kiwi),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candy; yogurt,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Kiwi),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Kiwi Extract,,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Pomegranate),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candy; yogurt,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Pomegranate),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Pomegranate Extract,,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Cranberry),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candy; yogurt,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Cranberry),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Cranberry Extract,,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Dragonfruit),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candy; yogurt,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Dragonfruit),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Dragonfruit Extract,,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Blood Orange),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candy; yogurt,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Blood Orange),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Blood Orange Extract,,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Papaya),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candy; yogurt,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Papaya),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Papaya Extract,,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Starfruit),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candy; yogurt,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Starfruit),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Starfruit Extract,,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Mulberry),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candy; yogurt,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Mulberry),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Mulberry Extract,,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Boysenberry),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candy; yogurt,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Boysenberry),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Boysenberry Extract,,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Loganberry),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candy; yogurt,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Loganberry),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Loganberry Extract,,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Elderberry),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candy; yogurt,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Elderberry),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Elderberry Extract,,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Gooseberry),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candy; yogurt,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Gooseberry),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Gooseberry Extract,,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Acai),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candy; yogurt,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Acai),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Acai Extract,,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Yuzu),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candy; yogurt,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavor (Yuzu),Artificial flavor,Flavoring,Approved,Moderate,May contain carriers/solvents,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Yuzu Extract,,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Amylase,,Enzyme,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Baking; dairy processing,FDA; EFSA; USDA; PubChem,2025-08-20,None
Protease,,Enzyme,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Baking; dairy processing,FDA; EFSA; USDA; PubChem,2025-08-20,None
Lipase,,Enzyme,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Baking; dairy processing,FDA; EFSA; USDA; PubChem,2025-08-20,None
Xylanase,,Enzyme,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Baking; dairy processing,FDA; EFSA; USDA; PubChem,2025-08-20,None
Glucose Oxidase,,Enzyme,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Baking; dairy processing,FDA; EFSA; USDA; PubChem,2025-08-20,None
Transglutaminase,,Enzyme,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Baking; dairy processing,FDA; EFSA; USDA; PubChem,2025-08-20,None
Cellulase,,Enzyme,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Baking; dairy processing,FDA; EFSA; USDA; PubChem,2025-08-20,None
Pectinase,,Enzyme,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Baking; dairy processing,FDA; EFSA; USDA; PubChem,2025-08-20,None
Lactase,,Enzyme,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Baking; dairy processing,FDA; EFSA; USDA; PubChem,2025-08-20,None
Invertase,,Enzyme,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Baking; dairy processing,FDA; EFSA; USDA; PubChem,2025-08-20,None
Calcium Carbonate (Anticaking),,Processing Aid,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Powders; fibers,FDA; EFSA; USDA; PubChem,2025-08-20,None
Rice Hull Fiber,,Processing Aid,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Powders; fibers,FDA; EFSA; USDA; PubChem,2025-08-20,None
Malt Extract,,Processing Aid,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Powders; fibers,FDA; EFSA; USDA; PubChem,2025-08-20,None
Corn Fiber,,Processing Aid,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Powders; fibers,FDA; EFSA; USDA; PubChem,2025-08-20,None
Oat Fiber,,Processing Aid,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Powders; fibers,FDA; EFSA; USDA; PubChem,2025-08-20,None
Inulin,,Processing Aid,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Powders; fibers,FDA; EFSA; USDA; PubChem,2025-08-20,None
E100 Curcumin,,Additive,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various processed foods,FDA; EFSA; USDA; PubChem,2025-08-20,None
E101 Riboflavin,,Additive,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various processed foods,FDA; EFSA; USDA; PubChem,2025-08-20,None
E104 Quinoline Yellow,,Additive,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various processed foods,FDA; EFSA; USDA; PubChem,2025-08-20,None
E110 Sunset Yellow FCF,,Additive,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various processed foods,FDA; EFSA; USDA; PubChem,2025-08-20,None
E120 Carmine,,Additive,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various processed foods,FDA; EFSA; USDA; PubChem,2025-08-20,None
E122 Azorubine,,Additive,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various processed foods,FDA; EFSA; USDA; PubChem,2025-08-20,None
E124 Ponceau 4R,,Additive,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various processed foods,FDA; EFSA; USDA; PubChem,2025-08-20,None
E129 Allura Red AC,,Additive,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various processed foods,FDA; EFSA; USDA; PubChem,2025-08-20,None
E133 Brilliant Blue FCF,,Additive,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various processed foods,FDA; EFSA; USDA; PubChem,2025-08-20,None
E150a Plain Caramel,,Additive,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various processed foods,FDA; EFSA; USDA; PubChem,2025-08-20,None
E150d Sulphite Ammonia Caramel,,Additive,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various processed foods,FDA; EFSA; USDA; PubChem,2025-08-20,"Asthma, Sulfite sensitivity"
E200 Sorbic Acid,,Additive,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various processed foods,FDA; EFSA; USDA; PubChem,2025-08-20,None
E202 Potassium Sorbate,,Additive,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various processed foods,FDA; EFSA; USDA; PubChem,2025-08-20,None
E210 Benzoic Acid,,Additive,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various processed foods,FDA; EFSA; USDA; PubChem,2025-08-20,None
E211 Sodium Benzoate,,Additive,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various processed foods,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
E220 Sulfur Dioxide,,Additive,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various processed foods,FDA; EFSA; USDA; PubChem,2025-08-20,None
E223 Sodium Metabisulfite,,Additive,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various processed foods,FDA; EFSA; USDA; PubChem,2025-08-20,"Asthma, High blood pressure, Kidney disease, Sulfite sensitivity"
E224 Potassium Metabisulfite,,Additive,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various processed foods,FDA; EFSA; USDA; PubChem,2025-08-20,"Asthma, Sulfite sensitivity"
E234 Nisin,,Additive,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various processed foods,FDA; EFSA; USDA; PubChem,2025-08-20,None
E235 Natamycin,,Additive,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various processed foods,FDA; EFSA; USDA; PubChem,2025-08-20,None
E249 Potassium Nitrite,,Additive,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various processed foods,FDA; EFSA; USDA; PubChem,2025-08-20,None
E250 Sodium Nitrite,,Additive,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various processed foods,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
E251 Sodium Nitrate,,Additive,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various processed foods,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
E252 Potassium Nitrate,,Additive,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various processed foods,FDA; EFSA; USDA; PubChem,2025-08-20,None
E260 Acetic Acid,,Additive,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various processed foods,FDA; EFSA; USDA; PubChem,2025-08-20,None
E262 Sodium Acetates,,Additive,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various processed foods,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
E270 Lactic Acid,,Additive,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various processed foods,FDA; EFSA; USDA; PubChem,2025-08-20,None
E296 Malic Acid,,Additive,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various processed foods,FDA; EFSA; USDA; PubChem,2025-08-20,None
E297 Fumaric Acid,,Additive,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various processed foods,FDA; EFSA; USDA; PubChem,2025-08-20,None
E300 Ascorbic Acid,,Additive,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various processed foods,FDA; EFSA; USDA; PubChem,2025-08-20,None
E301 Sodium Ascorbate,,Additive,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various processed foods,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
